#       sim_time             PVI       water_cut    oil_recovery     cumulateoil
   6.0398845e+04   7.7672428e-01   1.8986891e-01   8.1013109e-01   6.5660566e-01
   6.1397582e+04   7.8956796e-01   1.9185415e-01   8.0814585e-01   6.6571796e-01
   6.2453785e+04   8.0315064e-01   1.9710879e-01   8.0289121e-01   6.7527433e-01
   6.3668417e+04   8.1877072e-01   2.1032328e-01   7.8967672e-01   6.8613716e-01
   6.4929461e+04   8.3498763e-01   2.2163735e-01   7.7836265e-01   6.9716138e-01
   6.6233940e+04   8.5176313e-01   2.2867560e-01   7.7132440e-01   7.0821222e-01
   6.7624599e+04   8.6964689e-01   2.3861940e-01   7.6138060e-01   7.1971496e-01
   6.9218811e+04   8.9014834e-01   2.5532470e-01   7.4467530e-01   7.3255596e-01
   7.0868375e+04   9.1136159e-01   2.7563929e-01   7.2436071e-01   7.4532243e-01
   7.2575701e+04   9.3331767e-01   3.0438952e-01   6.9561048e-01   7.5784368e-01
   7.4417323e+04   9.5700078e-01   3.5151032e-01   6.4848968e-01   7.7045890e-01
   7.6535188e+04   9.8423635e-01   5.6974159e-01   4.3025841e-01   7.8367656e-01
   7.8970733e+04   1.0155573e+00   7.3035364e-01   2.6964636e-01   7.9488082e-01
   8.1771609e+04   1.0515763e+00   7.5678212e-01   2.4321788e-01   8.0020351e-01
   8.4992617e+04   1.0929982e+00   7.7025487e-01   2.2974513e-01   8.0506106e-01
   8.8696777e+04   1.1406334e+00   7.8104579e-01   2.1895421e-01   8.0998755e-01
